Day of the Week, Month of the Year, Year,
"Wednesday, September 06, 2023",
"Thursday, September 07, 2023",
"Friday, September 08, 2023",
"Monday, September 11, 2023",
"Wednesday, September 13, 2023",
"Thursday, September 14, 2023",
"Friday, September 15, 2023",
"Monday, September 18, 2023",
"Tuesday, September 19, 2023",
"Wednesday, September 20, 2023",
"Thursday, September 21, 2023",
"Friday, September 22, 2023",
"Monday, September 25, 2023",
"Tuesday, September 26, 2023",
"Wednesday, September 27, 2023",
"Thursday, September 28, 2023",
"Friday, September 29, 2023",
"Monday, October 02, 2023",
"Tuesday, October 03, 2023",
"Wednesday, October 04, 2023",
"Thursday, October 05, 2023",
"Friday, October 06, 2023",
"Monday, October 09, 2023",
"Tuesday, October 10, 2023",
"Wednesday, October 11, 2023",
"Thursday, October 12, 2023",
"Friday, October 13, 2023",
"Monday, October 16, 2023",
"Tuesday, October 17, 2023",
"Wednesday, October 18, 2023",
"Thursday, October 19, 2023",
"Tuesday, October 31, 2023",
"Wednesday, November 01, 2023",
"Thursday, November 02, 2023",
"Friday, November 03, 2023",
"Monday, November 06, 2023",
"Tuesday, November 07, 2023",
"Wednesday, November 08, 2023",
"Thursday, November 09, 2023",
"Friday, November 10, 2023",
"Monday, November 13, 2023",
"Tuesday, November 14, 2023",
"Wednesday, November 15, 2023",
"Thursday, November 16, 2023",
"Friday, November 17, 2023",
"Monday, November 20, 2023",
"Tuesday, November 21, 2023",
"Wednesday, November 22, 2023",
"Thursday, November 23, 2023",
"Friday, November 24, 2023",
"Monday, November 27, 2023",
"Tuesday, November 28, 2023",
"Wednesday, November 29, 2023",
"Thursday, November 30, 2023",
"Friday, December 01, 2023",
"Monday, December 04, 2023",
"Tuesday, December 05, 2023",
"Wednesday, December 06, 2023",
"Thursday, December 07, 2023",
"Friday, December 08, 2023",
"Monday, December 11, 2023",
"Tuesday, December 12, 2023",
"Wednesday, December 13, 2023",
"Thursday, December 14, 2023",
"Friday, December 15, 2023",
"Monday, December 18, 2023",
"Tuesday, December 19, 2023",
"Wednesday, December 20, 2023",
"Thursday, December 21, 2023",
"Monday, January 08, 2024",
"Tuesday, January 09, 2024",
"Wednesday, January 10, 2024",
"Thursday, January 11, 2024",
"Friday, January 12, 2024",
"Monday, January 15, 2024",
"Tuesday, January 16, 2024",
"Wednesday, January 17, 2024",
"Thursday, January 18, 2024",
"Friday, January 19, 2024",
"Monday, January 22, 2024",
"Tuesday, January 23, 2024",
"Wednesday, January 24, 2024",
"Thursday, January 25, 2024",
"Friday, January 26, 2024",
"Monday, January 29, 2024",
"Wednesday, January 31, 2024",
"Thursday, February 01, 2024",
"Friday, February 02, 2024",
"Monday, February 05, 2024",
"Tuesday, February 06, 2024",
"Wednesday, February 07, 2024",
"Thursday, February 08, 2024",
"Friday, February 09, 2024",
"Monday, February 19, 2024",
"Tuesday, February 20, 2024",
"Wednesday, February 21, 2024",
"Thursday, February 22, 2024",
"Friday, February 23, 2024",
"Monday, February 26, 2024",
"Tuesday, February 27, 2024",
"Wednesday, February 28, 2024",
"Thursday, February 29, 2024",
"Friday, March 01, 2024",
"Monday, March 04, 2024",
"Tuesday, March 05, 2024",
"Wednesday, March 06, 2024",
"Thursday, March 07, 2024",
"Friday, March 08, 2024",
"Monday, March 11, 2024",
"Tuesday, March 12, 2024",
"Wednesday, March 13, 2024",
"Thursday, March 14, 2024",
"Friday, March 15, 2024",
"Monday, March 18, 2024",
"Tuesday, March 19, 2024",
"Wednesday, March 20, 2024",
"Thursday, March 21, 2024",
"Friday, March 22, 2024",
"Monday, March 25, 2024",
"Tuesday, March 26, 2024",
"Wednesday, March 27, 2024",
"Thursday, March 28, 2024",
"Monday, April 15, 2024",
"Tuesday, April 16, 2024",
"Wednesday, April 17, 2024",
"Thursday, April 18, 2024",
"Friday, April 19, 2024",
"Monday, April 22, 2024",
"Tuesday, April 23, 2024",
"Wednesday, April 24, 2024",
"Thursday, April 25, 2024",
"Friday, April 26, 2024",
"Monday, April 29, 2024",
"Tuesday, April 30, 2024",
"Wednesday, May 01, 2024",
"Thursday, May 02, 2024",
"Friday, May 03, 2024",
"Tuesday, May 07, 2024",
"Wednesday, May 08, 2024",
"Thursday, May 09, 2024",
"Friday, May 10, 2024",
"Monday, May 13, 2024",
"Tuesday, May 14, 2024",
"Wednesday, May 15, 2024",
"Thursday, May 16, 2024",
"Friday, May 17, 2024",
"Monday, May 20, 2024",
"Tuesday, May 21, 2024",
"Wednesday, May 22, 2024",
"Thursday, May 23, 2024",
"Friday, May 24, 2024",
"Monday, June 03, 2024",
"Tuesday, June 04, 2024",
"Wednesday, June 05, 2024",
"Thursday, June 06, 2024",
"Friday, June 07, 2024",
"Monday, June 10, 2024",
"Tuesday, June 11, 2024",
"Wednesday, June 12, 2024",
"Thursday, June 13, 2024",
"Friday, June 14, 2024",
"Monday, June 17, 2024",
"Tuesday, June 18, 2024",
"Wednesday, June 19, 2024",
"Thursday, June 20, 2024",
"Friday, June 21, 2024",
"Monday, June 24, 2024",
"Tuesday, June 25, 2024",
"Wednesday, June 26, 2024",
"Thursday, June 27, 2024",
"Friday, June 28, 2024",
"Monday, July 01, 2024",
"Tuesday, July 02, 2024",
"Wednesday, July 03, 2024",
"Thursday, July 04, 2024",
"Friday, July 05, 2024",
"Monday, July 08, 2024",
"Tuesday, July 09, 2024",
"Wednesday, July 10, 2024",
"Thursday, July 11, 2024",
"Friday, July 12, 2024",
"Monday, July 15, 2024",
"Tuesday, July 16, 2024",
"Wednesday, July 17, 2024",
"Thursday, July 18, 2024",
"Friday, July 19, 2024",
"Monday, July 22, 2024",
"Tuesday, July 23, 2024",
"Wednesday, July 24, 2024",
